Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,Booster_Daily,Booster_Cumulative,Booster_7_Day_Rolling_Average
11/16/2021,46,AS,0,66939,43,0,35227,4,Admin,0,43,0,31267,13,0,849,26
11/16/2021,46,LA,0,5053736,6990,0,2571915,1821,Admin,0,6991,0,2246770,974,0,348070,4271
11/16/2021,46,UT,0,3848254,98,0,2010556,39,Admin,0,99,0,1747418,16,0,213196,72
11/16/2021,46,SC,0,5986066,9701,0,3052880,3227,Admin,0,9701,0,2615899,1375,0,438781,5149
11/16/2021,46,WV,87681,1685827,12921,81792,948453,11816,Report,87681,12921,5172,743031,883,1737,52815,609
11/16/2021,46,MA,23526,11071311,42938,10522,5717279,16320,Report,23526,42938,1984,4857106,3449,11535,807204,22539
11/16/2021,46,IN,9655,7527833,17690,3095,3702035,5099,Report,9655,17690,998,3385470,1620,5550,563161,10663
11/16/2021,46,NV,0,3820954,6755,0,2025141,2463,Admin,0,6755,0,1658987,897,0,230492,3440
11/16/2021,46,PA,64148,18712662,68845,37630,10566051,39879,Report,64148,68845,8187,7903294,8007,18387,854238,21864
11/16/2021,46,US,1368939,443374199,1459687,558324,227691941,490639,Report,1368939,1459687,159784,195435688,181011,641535,30708979,762919
11/16/2021,46,CT,0,5727467,13018,0,2910528,5206,Admin,0,13018,0,2547144,812,0,445323,7110
11/16/2021,46,NM,0,2990593,6737,0,1506430,2311,Admin,0,6737,0,1319377,497,0,272072,4048
11/16/2021,46,OR,0,5942144,11586,0,2955166,4155,Admin,0,11586,0,2678326,696,0,497000,6804
11/16/2021,46,KS,3972,3536460,13315,1539,1831500,4426,Report,3972,13315,544,1572949,1341,2004,262531,6860
11/16/2021,46,IN,0,7527833,10647,0,3702035,3353,Admin,0,10648,0,3385467,918,0,563150,6509
11/16/2021,46,VI,0,112907,169,0,58588,46,Admin,0,169,0,50028,30,0,4821,97
11/16/2021,46,WV,0,1685827,3640,0,948453,3273,Admin,0,3640,0,743031,217,0,52815,302
11/16/2021,46,IL,29063,17142748,57418,6957,8421011,13471,Report,29063,57418,3661,7791475,8107,19045,1385402,36012
11/16/2021,46,NE,0,2474935,4516,0,1204508,1495,Admin,0,4517,0,1100129,291,0,216297,2756
11/16/2021,46,AL,0,5061882,7228,0,2668054,2096,Admin,0,7228,0,2231218,1158,0,323563,4058
11/16/2021,46,OH,22426,13775877,52705,6999,6749808,13848,Report,22426,52705,2385,6139691,5264,13503,1192881,33575
11/16/2021,46,ND,6481,859725,3440,2143,439686,1146,Report,6481,3440,550,367616,325,3603,76711,1917
11/16/2021,46,WI,335,7815980,32042,125,3760665,8230,Report,335,32042,66,3434266,2191,359,745785,18251
11/16/2021,46,AL,5176,5061882,12435,2139,2668054,3438,Report,5176,12435,1038,2231219,2389,2341,323564,6764
11/16/2021,46,NY,66156,28683544,76546,25676,14815564,27103,Report,66156,76546,9277,13169871,11700,31715,1298348,37668
11/16/2021,46,IA,0,4004479,9279,0,1938026,2596,Admin,0,9279,0,1773343,559,0,406589,6166
11/16/2021,46,CO,32882,8215781,35457,12961,4024796,9955,Report,32882,35457,2556,3599101,3266,17260,752417,21062
11/16/2021,46,ID,1924,1813138,4960,403,887495,835,Report,1924,4960,444,798126,752,1303,168190,3469
11/16/2021,46,GU,501,263480,547,130,132964,75,Report,501,547,70,122319,64,300,14967,410
11/16/2021,46,DE,0,1349854,125,0,697904,35,Report,0,125,50,589403,61,89,88865,167
11/16/2021,46,CT,10053,5727467,20840,4723,2910528,7599,Report,10053,20840,816,2547152,1502,4732,445357,11399
11/16/2021,46,CO,0,8215781,20725,0,4024796,6467,Admin,0,20726,0,3599101,1630,0,752417,12744
11/16/2021,46,FL,54083,29842406,90288,17568,15292978,25649,Report,54083,90288,6881,13016480,12372,29870,2017513,48976
11/16/2021,46,AK,0,920191,3141,0,450312,1100,Report,0,3141,16,391356,436,27,85054,1674
11/16/2021,46,HI,3399,2037978,4315,1707,1126845,1921,Report,3399,4315,388,855649,612,1407,102969,1936
11/16/2021,46,TN,57102,7867122,29857,17696,3894486,7526,Report,57102,29857,6928,3342399,8034,31360,618879,12891
11/16/2021,46,GU,0,263480,90,0,132964,16,Admin,0,91,0,122319,11,0,14967,64
11/16/2021,46,TX,0,35903048,48426,0,18598334,12303,Admin,0,48426,0,15691269,7013,0,2241288,28698
11/16/2021,46,RP,0,33275,101,0,17890,1,Report,0,101,1,15749,3,0,2100,97
11/16/2021,46,PR,5097,5220846,14767,2204,2655488,4311,Report,5097,14767,285,2369831,1312,2629,297642,9147
11/16/2021,46,NE,22260,2474935,8810,7012,1204508,2546,Report,22260,8810,1337,1100134,680,11279,216301,5203
11/16/2021,46,FM,0,78291,135,0,46846,45,Report,0,135,0,41551,44,0,679,53
11/16/2021,46,NC,0,13036406,23910,0,7159740,14447,Admin,0,23911,0,5619298,2201,0,597180,7452
11/16/2021,46,NJ,0,12963961,27847,0,6659415,10145,Admin,0,27848,0,5967959,2434,0,913471,15677
11/16/2021,46,RP,0,33275,87,0,17890,1,Admin,0,87,0,15710,2,0,2094,84
11/16/2021,46,FM,0,78291,25,0,46846,5,Admin,0,25,0,41547,5,0,678,14
11/16/2021,46,DC,0,1125215,1503,0,598031,619,Admin,0,1503,0,448629,183,0,57128,781
11/16/2021,46,ME,0,2119425,5373,0,1065467,1814,Admin,0,5374,0,962283,411,0,199179,3238
11/16/2021,46,OH,0,13775877,28543,0,6749808,7888,Admin,0,28544,0,6139691,2488,0,1192881,18344
11/16/2021,46,MO,11154,7135767,23838,4693,3620888,7829,Report,11154,23838,1141,3096343,2656,5432,528776,11915
11/16/2021,46,AZ,0,9209877,15813,0,4648850,5621,Admin,0,15813,0,3930108,2027,0,582242,8068
11/16/2021,46,IL,0,17142748,28844,0,8421011,6037,Admin,0,28845,0,7791475,2575,0,1385402,20682
11/16/2021,46,KY,0,5194332,10236,0,2611094,3157,Admin,0,10237,0,2301594,914,0,437565,6218
11/16/2021,46,NM,6610,2990593,11223,2149,1506430,3656,Report,6610,11223,432,1319377,1062,4080,272072,6741
11/16/2021,46,MT,0,1272745,2565,0,627245,753,Admin,0,2565,0,548910,244,0,128910,1606
11/16/2021,46,AR,2783,3406266,10532,1138,1775740,3088,Report,2783,10532,420,1471692,1433,1310,245448,5928
11/16/2021,46,OK,5479,4706632,13990,2680,2452047,5164,Report,5479,13990,756,2014904,1949,2072,317476,6146
11/16/2021,46,SD,0,1095618,2101,0,567563,776,Admin,0,2102,0,475748,213,0,89791,1172
11/16/2021,46,ME,24822,2119425,9628,6786,1065467,2868,Report,24822,9628,1763,962283,803,12775,199179,5556
11/16/2021,46,MD,23717,8984175,28147,4087,4436625,4664,Report,23717,28147,2511,4035528,3175,16734,739762,19724
11/16/2021,46,KY,7719,5194332,19526,3054,2611094,5165,Report,7719,19526,818,2301594,2261,4058,437565,10743
11/16/2021,46,DE,0,1349854,86,0,697904,21,Admin,0,87,0,589384,24,0,88828,114
11/16/2021,46,MS,23445,3116965,8508,6905,1574144,2208,Report,23445,8508,5135,1386037,1600,10119,202349,4652
11/16/2021,46,ND,0,859725,1941,0,439686,661,Admin,0,1941,0,367615,176,0,76711,1083
11/16/2021,46,AR,0,3406266,4853,0,1775740,1514,Admin,0,4854,0,1471685,578,0,245434,2814
11/16/2021,46,MT,14681,1272745,5210,3943,627245,1367,Report,14681,5210,1812,548911,612,7621,128910,3091
11/16/2021,46,NJ,41902,12963961,48911,14931,6659415,16696,Report,41902,48911,6515,5967959,5066,22143,913471,26037
11/16/2021,46,HI,0,2037978,2440,0,1126845,1160,Admin,0,2440,0,855649,296,0,102969,1060
11/16/2021,46,MA,0,11071311,26134,0,5717279,10873,Admin,0,26135,0,4857094,1902,0,807181,13528
11/16/2021,46,RI,3484,1659323,6189,1447,830677,2183,Report,3484,6189,674,760573,540,2139,137645,3575
11/16/2021,46,LA,3431,5053736,12330,944,2571915,2996,Report,3431,12330,738,2246770,1940,1902,348070,7540
11/16/2021,46,NC,56171,13036406,44437,44109,7159740,26530,Report,56171,44437,7684,5619298,4859,6583,597180,13770
11/16/2021,46,RI,0,1659323,3559,0,830677,1335,Admin,0,3560,0,760572,276,0,137642,2085
11/16/2021,46,MI,21866,12167903,47333,6542,5866333,12792,Report,21866,47333,1865,5404429,3798,13909,1130404,27971
11/16/2021,46,NH,11149,2034199,8244,10375,1121391,5720,Report,11149,8244,1002,866642,706,356,39385,2098
11/16/2021,46,WY,0,609472,1062,0,306955,391,Admin,0,1062,0,260286,130,0,55437,553
11/16/2021,46,WA,0,10923809,23234,0,5400765,7911,Admin,0,23235,0,4903332,1959,0,893544,13575
11/16/2021,46,MP,414,78063,387,174,38325,199,Report,414,387,30,35205,20,214,5442,170
11/16/2021,46,OR,10077,5942144,21221,3264,2955166,6081,Report,10077,21221,665,2678326,1553,6416,497000,12445
11/16/2021,46,DC,3851,1125215,3232,2640,598031,1493,Report,3851,3232,286,448652,412,1072,57181,1412
11/16/2021,46,TX,77146,35903048,84717,20839,18598334,21247,Report,77146,84717,12051,15691269,14656,43886,2241288,46594
11/16/2021,46,MN,0,7798637,18116,0,3780476,4750,Admin,0,18117,0,3490068,1096,0,796753,12393
11/16/2021,46,MH,0,44518,44,0,24616,8,Admin,0,44,0,21512,27,0,375,9
11/16/2021,46,NH,0,2034199,3561,0,1121391,2975,Admin,0,3561,0,866642,272,0,39385,452
11/16/2021,46,PA,0,18712662,36852,0,10566051,22260,Admin,0,36852,0,7903294,3354,0,854238,11888
11/16/2021,46,MO,0,7135767,11945,0,3620888,4236,Admin,0,11945,0,3096343,1157,0,528776,6636
11/16/2021,46,VA,0,12513753,27801,0,6290263,10636,Admin,0,27802,0,5473013,2478,0,976712,14746
11/16/2021,46,ID,0,1813138,2552,0,887495,440,Admin,0,2552,0,798126,363,0,168190,1816
11/16/2021,46,PR,0,5220846,4387,0,2655488,1843,Admin,0,4388,0,2369831,200,0,297640,2361
11/16/2021,46,MD,0,8984175,17955,0,4436625,2935,Admin,0,17955,0,4035528,1769,0,739762,13194
11/16/2021,46,IA,50507,4004479,17461,11780,1938026,4369,Report,50507,17461,2796,1773343,1140,25484,406592,10486
11/16/2021,46,VT,4250,1059798,5016,1431,522290,1454,Report,4250,5016,239,450241,340,2572,121650,3209
11/16/2021,46,US,0,443374199,800757,0,227691941,281953,Admin,0,800758,0,193963821,82572,0,30651760,443075
11/16/2021,46,AS,151,66939,74,17,35227,8,Report,151,74,60,31274,16,74,850,49
11/16/2021,46,KS,0,3536460,6799,0,1831500,2590,Admin,0,6800,0,1572945,677,0,262524,3651
11/16/2021,46,GA,0,11937968,15601,0,6118376,5069,Admin,0,15601,0,5202624,2399,0,689602,8259
11/16/2021,46,AZ,13903,9209877,28138,5073,4648850,9318,Report,13903,28138,1966,3930108,4089,6731,582242,14129
11/16/2021,46,CA,0,57134769,119394,0,30325257,44017,Admin,0,119395,0,24639061,13946,0,3738973,62518
11/16/2021,46,FL,0,29842406,44588,0,15292978,13354,Admin,0,44589,0,13016480,5419,0,2017513,25825
11/16/2021,46,WI,0,7815980,17185,0,3760665,5124,Admin,0,17185,0,3434266,1090,0,745785,11134
11/16/2021,46,NV,6728,3820954,11889,2610,2025141,4067,Report,6728,11889,1002,1658987,1655,3174,230492,5772
11/16/2021,46,GA,139521,11937968,20474,43906,6118376,6455,Report,139521,20474,21246,5202626,3405,71340,689615,10640
11/16/2021,46,MH,0,44518,153,0,24616,20,Report,0,153,0,21512,106,0,375,21
11/16/2021,46,NY,0,28683544,49933,0,14815564,18565,Admin,0,49934,0,13169871,7028,0,1298348,25408
11/16/2021,46,TN,0,7867122,12291,0,3894486,3572,Admin,0,12292,0,3342395,1428,0,618876,7308
11/16/2021,46,VI,333,112907,250,75,58588,69,Report,333,250,72,50032,58,190,4821,129
11/16/2021,46,AK,0,920191,1404,0,450312,496,Admin,0,1404,0,391354,124,0,85050,807
11/16/2021,46,MP,0,78063,305,0,38325,159,Admin,0,306,0,35204,15,0,5442,133
11/16/2021,46,VA,30977,12513753,49957,12807,6290263,18050,Report,30977,49957,3165,5473023,5179,15377,976753,25117
11/16/2021,46,UT,0,3848254,3776,0,2010556,784,Report,0,3776,16,1747437,703,33,213232,2378
11/16/2021,46,SC,7558,5986066,17360,2850,3052880,5489,Report,7558,17360,1436,2615899,2489,3620,438781,8662
11/16/2021,46,MS,0,3116965,3924,0,1574144,970,Admin,0,3924,0,1386034,562,0,202345,2418
11/16/2021,46,SD,7915,1095618,3805,4250,567563,1470,Report,7915,3805,773,475748,440,2990,89791,2007
11/16/2021,46,CA,80192,57134769,209106,30743,30325257,75395,Report,80192,209106,10027,24639061,27382,40496,3738973,104242
11/16/2021,46,VT,0,1059798,2472,0,522290,729,Admin,0,2473,0,450235,134,0,121634,1608
11/16/2021,46,MI,0,12167903,25749,0,5866333,7728,Admin,0,25749,0,5404429,1929,0,1130404,16575
11/16/2021,46,OK,0,4706632,7611,0,2452047,3278,Admin,0,7612,0,2014904,931,0,317476,3472
11/16/2021,46,WA,152009,10923809,38578,53229,5400765,12138,Report,152009,38578,13657,4903335,3904,85160,893544,22827
11/16/2021,46,WY,5963,609472,2266,1954,306955,671,Report,5963,2266,1048,260286,363,2700,55442,1227
11/16/2021,46,MN,10022,7798637,33489,1709,3780476,7967,Report,10022,33489,736,3490068,2178,7900,796753,21329
11/15/2021,46,MD,12407,8960458,27492,2107,4432538,4537,Report,12407,27492,1522,4033017,3194,8934,723028,19261
11/15/2021,46,GU,51,262979,516,20,132834,60,Report,51,516,18,122249,57,25,14667,401
11/15/2021,46,ND,0,853244,2533,0,437543,844,Report,0,2533,12,367066,252,31,73108,1415
11/15/2021,46,IA,0,4004479,11856,0,1938026,3233,Admin,0,11856,0,1773343,706,0,406589,7967
11/15/2021,46,AK,2739,920191,3242,978,450312,1120,Report,2739,3242,222,391340,450,1595,85027,1741
11/15/2021,46,MD,12084,8984175,22135,1979,4436625,3571,Admin,12084,22136,1086,4035528,2179,8877,739762,16316
11/15/2021,46,NH,21517,2023050,7203,7623,1111016,4740,Report,21517,7203,1738,865640,608,12092,39029,2069
11/15/2021,46,NH,528,2034199,4583,489,1121391,3784,Admin,528,4583,15,866642,346,12,39385,633
11/15/2021,46,RI,0,1659323,4478,0,830677,1632,Admin,0,4478,0,760572,348,0,137642,2653
11/15/2021,46,OR,1,5942144,14282,0,2955166,4797,Admin,1,14283,0,2678326,877,1,497000,8690
11/15/2021,46,MT,36,1258064,4658,25,623302,1041,Report,36,4658,22,547099,511,32,121289,3161
11/15/2021,46,FL,77589,29788323,89369,25048,15275410,25535,Report,77589,89369,9486,13009599,12273,42739,1987643,48343
11/15/2021,46,FL,2,29842406,55966,0,15292978,16527,Admin,2,55966,27,13016480,6891,30,2017513,32607
11/15/2021,46,IN,0,7527833,12377,0,3702035,3861,Admin,0,12377,0,3385467,1046,0,563150,7654
11/15/2021,46,NV,11681,3814226,11726,4686,2022531,4054,Report,11681,11726,1653,1657985,1643,5402,227318,5649
11/15/2021,46,RI,6223,1655839,5919,2502,829230,2078,Report,6223,5919,369,759899,508,3388,135506,3422
11/15/2021,46,US,93015,443374199,1000050,28258,227691941,346138,Admin,93015,1000051,11708,193963821,103914,53468,30651760,558675
11/15/2021,46,AK,0,920191,1850,0,450312,663,Admin,0,1851,0,391354,166,0,85050,1055
11/15/2021,46,KY,14037,5186613,19257,4865,2608040,5019,Report,14037,19257,1309,2300776,2264,7989,433507,10614
11/15/2021,46,ND,0,859725,2625,0,439686,876,Admin,0,2626,0,367615,240,0,76711,1486
11/15/2021,46,MS,62,3093520,8895,8,1567239,1997,Report,62,8895,29,1380902,1581,87,192230,5433
11/15/2021,46,SC,16582,5978508,17060,6046,3050030,5384,Report,16582,17060,2474,2614463,2427,8060,435161,8532
11/15/2021,46,NJ,23214,12922059,42938,9521,6644484,14566,Report,23214,42938,2199,5961444,4195,12052,891328,22923
11/15/2021,46,WI,26866,7815645,33216,10760,3760540,8549,Report,26866,33216,1658,3434200,2309,14599,745426,18993
11/15/2021,46,SC,1,5986066,12174,0,3052880,3996,Admin,1,12175,14,2615899,1738,13,438781,6511
11/15/2021,46,CA,452556,57054577,205403,158750,30294514,73991,Report,452556,205403,54188,24629034,27293,213351,3698477,102090
11/15/2021,46,WV,61,1685827,4468,10,948453,4000,Admin,61,4468,9,743031,273,53,52815,383
11/15/2021,46,SD,323,1087703,3828,190,563313,1227,Report,323,3828,48,474975,487,132,86801,2233
11/15/2021,46,RP,0,33275,100,0,17890,1,Admin,0,100,0,15710,2,0,2094,97
11/15/2021,46,IL,2,17142748,36151,0,8421011,7288,Admin,2,36151,11,7791475,3214,19,1385402,26182
11/15/2021,46,GA,0,11937968,18282,0,6118376,5954,Admin,0,18282,0,5202624,2828,0,689602,9680
11/15/2021,46,MO,6,7135767,15335,0,3620888,5274,Admin,6,15335,2,3096343,1494,19,528776,8668
11/15/2021,46,DE,152,1349854,3631,22,697904,932,Report,152,3631,21,589353,477,167,88776,2255
11/15/2021,46,FM,0,78291,135,0,46846,45,Report,0,135,0,41551,44,1,679,53
11/15/2021,46,MH,0,44518,47,0,24616,9,Admin,0,48,0,21512,28,0,375,11
11/15/2021,46,MN,28,7798637,23098,11,3780476,5956,Admin,28,23099,2,3490068,1388,22,796753,15913
11/15/2021,46,OK,420,4706632,9650,320,2452047,4036,Admin,420,9650,39,2014904,1227,51,317476,4477
11/15/2021,46,PA,53008,18648514,76568,37169,10528421,42790,Report,53008,76568,4572,7895107,10800,12368,835851,24058
11/15/2021,46,PA,82,18712662,46415,33,10566051,27613,Admin,82,46416,63,7903294,4262,122,854238,15336
11/15/2021,46,NC,2884,13036406,30358,2404,7159740,18033,Admin,2884,30358,279,5619298,2845,146,597180,9730
11/15/2021,46,AS,0,66788,81,0,35210,13,Report,0,81,0,31214,17,0,776,51
11/15/2021,46,TN,147,7810020,30011,26,3876790,6516,Report,147,30011,68,3335471,8389,255,587519,13695
11/15/2021,46,NV,21,3820954,8378,13,2025141,2958,Admin,21,8378,12,1658987,1140,9,230492,4349
11/15/2021,46,MO,315,7124613,26591,41,3616195,8434,Report,315,26591,80,3095202,3083,491,523344,13618
11/15/2021,46,GA,116,11798447,12898,29,6074470,3373,Report,116,12898,147,5181380,2658,305,618275,7144
11/15/2021,46,KS,0,3536460,8612,0,1831500,3195,Admin,0,8612,0,1572945,856,0,262524,4711
11/15/2021,46,MA,0,11071311,32685,0,5717279,13323,Admin,0,32685,0,4857094,2405,0,807181,17163
11/15/2021,46,IL,50966,17113685,56733,12494,8414054,13276,Report,50966,56733,6383,7787814,8175,32489,1366357,35467
11/15/2021,46,WY,108,603509,2224,33,305001,527,Report,108,2224,15,259238,352,86,52742,1378
11/15/2021,46,NC,27487,12980235,39685,17009,7115631,22542,Report,27487,39685,2415,5611614,4133,8455,590597,13449
11/15/2021,46,CO,7427,8215781,24768,1396,4024796,7508,Admin,7427,24769,650,3599101,2019,5416,752417,15398
11/15/2021,46,AL,9885,5056706,12179,3797,2665915,3260,Report,9885,12179,1596,2230181,2389,4501,321223,6690
11/15/2021,46,ID,21,1813138,3226,5,887495,541,Admin,21,3226,6,798126,452,14,168190,2319
11/15/2021,46,PR,9823,5215749,14040,3214,2653284,3997,Report,9823,14040,541,2369546,1274,6092,295013,8777
11/15/2021,46,OH,111385,13753451,49487,31019,6742809,12833,Report,111385,49487,10185,6137306,4898,69824,1179378,31667
11/15/2021,46,AZ,29688,9195974,27753,10979,4643777,8984,Report,29688,27753,3621,3928142,4094,14678,575511,14104
11/15/2021,46,LA,2,5053736,9047,1,2571915,2304,Admin,2,9047,2,2246770,1262,17,348070,5580
11/15/2021,46,AS,0,66939,43,0,35227,4,Admin,0,43,0,31267,13,0,849,26
11/15/2021,46,VI,17,112574,255,2,58513,70,Report,17,255,0,49960,65,18,4631,126
11/15/2021,46,WA,1,10923809,28599,0,5400765,9251,Admin,1,28599,1,4903332,2463,11,893544,17149
11/15/2021,46,OR,17967,5932067,19798,8082,2951902,5621,Report,17967,19798,997,2677661,1476,8983,490584,11560
11/15/2021,46,RP,0,33275,101,0,17890,1,Report,0,101,0,15748,3,0,2100,97
11/15/2021,46,CT,0,5727467,15949,0,2910528,6134,Admin,0,15949,0,2547144,1024,0,445323,8938
11/15/2021,46,NY,27043,28683544,59492,10320,14815564,21754,Admin,27043,59493,4078,13169871,8561,12917,1298348,30519
11/15/2021,46,GU,27,263480,116,19,132964,24,Admin,27,116,11,122319,14,0,14967,79
11/15/2021,46,ID,3370,1811214,4993,638,887092,846,Report,3370,4993,537,797682,746,2205,166887,3495
11/15/2021,46,MN,24832,7788615,33727,7505,3778767,8038,Report,24832,33727,1481,3489332,2235,15964,788853,21418
11/15/2021,46,VA,0,12513753,34952,0,6290263,13253,Admin,0,34953,0,5473013,3196,0,976712,18598
11/15/2021,46,WV,187,1598146,461,69,866661,152,Report,187,461,93,737859,172,233,51078,403
11/15/2021,46,DE,0,1349854,102,0,697904,27,Admin,0,103,0,589384,31,0,88828,131
11/15/2021,46,CO,53482,8182899,30770,14534,4011835,8111,Report,53482,30770,3750,3596545,2914,27501,735157,18614
11/15/2021,46,AR,0,3406266,6360,0,1775740,1916,Admin,0,6360,0,1471685,740,0,245434,3768
11/15/2021,46,UT,66,3848254,9695,4,2010556,1885,Report,66,9695,33,1747421,1840,96,213199,6048
11/15/2021,46,HI,4905,2034579,3850,2358,1125138,1680,Report,4905,3850,616,855261,560,2099,101562,1757
11/15/2021,46,UT,0,3848254,138,0,2010556,49,Admin,0,139,0,1747418,23,0,213196,109
11/15/2021,46,KY,6,5194332,13022,0,2611094,3901,Admin,6,13022,6,2301594,1164,5,437565,8027
11/15/2021,46,WA,15,10771800,31310,5,5347536,6627,Report,15,31310,96,4889678,3772,260,808384,21169
11/15/2021,46,CA,3,57134769,149477,0,30325257,54579,Admin,3,149478,19,24639061,17741,41,3738973,78565
11/15/2021,46,NE,0,2474935,5808,0,1204508,1868,Admin,0,5808,0,1100129,386,0,216297,3591
11/15/2021,46,VA,76767,12482776,52137,25786,6277456,18132,Report,76767,52137,6568,5469858,5603,34527,961376,26718
11/15/2021,46,VI,324,112907,208,74,58588,58,Admin,324,209,63,50028,36,188,4821,119
11/15/2021,46,IN,28051,7518178,17091,9502,3698940,4838,Report,28051,17091,2610,3384472,1598,15935,557611,10362
11/15/2021,46,IA,412,3953972,16464,9,1926246,4012,Report,412,16464,32,1770547,1226,460,381108,11197
11/15/2021,46,NE,762,2452675,8978,66,1197496,2422,Report,762,8978,26,1098797,799,719,205022,5752
11/15/2021,46,TX,41520,35825902,81575,11175,18577495,20484,Report,41520,81575,6875,15679218,14273,22985,2197402,44511
11/15/2021,46,NY,61727,28617388,72020,24118,14789888,25083,Report,61727,72020,7429,13160594,11488,31510,1266633,35438
11/15/2021,46,MP,0,77649,395,0,38151,211,Report,0,395,0,35175,20,0,5228,168
11/15/2021,46,US,1445647,442005260,1413343,525964,227133617,455607,Report,1445647,1413343,155434,195275904,182113,728478,30067444,753192
11/15/2021,46,CT,24399,5717414,20238,11726,2905805,7331,Report,24399,20238,1348,2546336,1481,11437,440625,11095
11/15/2021,46,FM,0,78291,48,0,46846,10,Admin,0,48,0,41547,13,0,678,26
11/15/2021,46,SD,6,1095618,2696,2,567563,967,Admin,6,2696,1,475748,274,5,89791,1539
11/15/2021,46,MH,0,44518,153,0,24616,20,Report,0,153,0,21512,106,1,375,21
11/15/2021,46,HI,1168,2037978,2916,265,1126845,1361,Admin,1168,2917,191,855649,365,724,102969,1282
11/15/2021,46,DC,0,1125215,2052,0,598031,886,Admin,0,2053,0,448629,242,0,57128,1014
11/15/2021,46,KS,11405,3532488,13379,4897,1829961,4402,Report,11405,13379,1110,1572405,1351,5402,260527,6952
11/15/2021,46,DC,3085,1121364,3085,1302,595391,1289,Report,3085,3085,403,448366,421,1482,56109,1445
11/15/2021,46,MT,0,1272745,3533,0,627245,990,Admin,0,3533,0,548910,338,0,128910,2255
11/15/2021,46,TN,0,7867122,15621,0,3894486,4435,Admin,0,15621,0,3342395,1820,0,618876,9384
11/15/2021,46,OH,1,13775877,35984,0,6749808,9884,Admin,1,35985,3,6139691,3086,6,1192881,23234
11/15/2021,46,VT,0,1059798,3324,0,522290,1013,Admin,0,3324,0,450235,177,0,121634,2127
11/15/2021,46,OK,10040,4701153,14105,4839,2449367,5289,Report,10040,14105,1296,2014148,1986,3978,315404,6091
11/15/2021,46,TX,26276,35903048,59783,6964,18598334,14914,Admin,26276,59784,3727,15691269,8703,15268,2241288,35722
11/15/2021,46,PR,0,5220846,5958,0,2655488,2482,Admin,0,5958,0,2369831,285,0,297640,3211
11/15/2021,46,MP,357,78063,369,121,38325,187,Admin,357,369,28,35204,20,212,5442,165
11/15/2021,46,NM,2,2990593,8469,2,1506430,2834,Admin,2,8469,7,1319377,644,17,272072,5151
11/15/2021,46,NJ,13924,12963961,34158,3746,6659415,12346,Admin,13924,34159,1336,5967959,2987,9078,913471,19337
11/15/2021,46,MI,39276,12146037,46591,12582,5859791,12531,Report,39276,46591,3024,5402564,3777,24523,1116495,27501
11/15/2021,46,WY,0,609472,1423,0,306955,483,Admin,0,1424,0,260286,175,0,55437,785
11/15/2021,46,ME,4,2119425,6970,2,1065467,2286,Admin,4,6971,0,962283,527,2,199179,4269
11/15/2021,46,ME,649,2094603,9498,602,1058681,2516,Report,649,9498,143,960520,866,193,186404,6213
11/15/2021,46,VT,5036,1055548,5111,1238,520859,1374,Report,5036,5111,486,450002,347,3414,119078,3368
11/15/2021,46,AL,0,5061882,8984,0,2668054,2495,Admin,0,8984,0,2231218,1457,0,323563,5139
11/15/2021,46,LA,7986,5050305,12266,2889,2570971,2961,Report,7986,12266,1103,2246032,1951,3929,346168,7498
11/15/2021,46,MA,43392,11047785,41407,19470,5706757,15779,Report,43392,41407,3166,4855122,3327,21171,795669,21661
11/15/2021,46,AR,5566,3403483,10446,1998,1774602,3051,Report,5566,10446,669,1471272,1439,2956,244138,5887
11/15/2021,46,MI,25,12167903,32436,5,5866333,9723,Admin,25,32437,4,5404429,2420,26,1130404,20887
11/15/2021,46,NM,11273,2983983,11006,5105,1504281,3612,Report,11273,11006,734,1318945,1061,5749,267992,6569
11/15/2021,46,MS,0,3116965,5138,0,1574144,1241,Admin,0,5139,0,1386034,724,0,202345,3217
11/15/2021,46,WI,130,7815980,22127,18,3760665,6414,Admin,130,22127,6,3434266,1430,113,745785,14485
11/15/2021,46,AZ,36,9209877,19823,10,4648850,6854,Admin,36,19823,10,3930108,2579,34,582242,10256
11/14/2021,46,CA,44538,57134766,177284,15444,30325257,64099,Admin,44538,177285,4680,24639042,21809,24682,3738932,93118
11/14/2021,46,DC,94,1125215,2536,20,598031,1116,Admin,94,2537,47,448629,293,160,57128,1229
11/14/2021,46,NJ,15237,12950037,37621,6366,6655669,13750,Admin,15237,37621,1370,5966623,3365,7648,904393,21079
11/14/2021,46,VI,66,112557,255,39,58511,71,Report,66,255,15,49960,65,21,4613,126
11/14/2021,46,NM,13219,2972710,10723,4318,1499176,3234,Report,13219,10723,1089,1318211,1095,7657,262243,6622
11/14/2021,46,IN,45108,7490127,16713,11769,3689438,4280,Report,45108,16713,3852,3381862,1643,26699,541676,10519
11/14/2021,46,NM,3411,2990591,9830,948,1506428,3242,Admin,3411,9830,200,1319370,793,2241,272055,5988
11/14/2021,46,NJ,47990,12898845,42061,16549,6634963,14143,Report,47990,42061,4130,5959245,4180,22076,879276,22500
